"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"BSE","4,615.00","4,615.00","4,354.50","4,633.70","4,387.00","-5.32","55,40,079","24,67,41,82,247.04","14-Jun-2024"
"POLYCAB","4,830.75","4,937.80","4,581.05","4,713.40","4,840.25","2.69","41,18,887","19,70,80,50,517.60","09-Jul-2024"
"RELIANCE","1,204.00","1,206.45","1,156.00","1,200.10","1,171.25","-2.40","1,55,38,536","18,15,14,96,213.76","28-Oct-2024"
"HDFCBANK","1,739.80","1,743.05","1,694.10","1,732.40","1,701.30","-1.80","86,28,940","14,76,47,20,365.80","10-May-2024"
"TCS","3,485.00","3,523.25","3,476.15","3,483.25","3,498.60","0.44","40,09,506","14,02,89,00,638.46","17-Jan-2025"
"VBL","436.00","461.05","419.55","436.05","456.30","4.64","2,52,42,494","11,02,41,54,404.62","12-Sep-2024"
"NH","1,450.00","1,593.50","1,450.00","1,444.50","1,586.35","9.82","71,31,963","10,96,33,24,843.23","02-Aug-2024"
"M&M","2,613.80","2,695.95","2,595.00","2,585.10","2,616.55","1.22","37,72,994","9,92,44,45,687.66","05-Jul-2024"
"INFY","1,692.30","1,728.60","1,692.30","1,687.70","1,705.20","1.04","57,05,655","9,76,80,24,303.45","29-Oct-2024"
"TATAMOTORS","620.65","626.85","606.30","620.65","623.60","0.48","1,58,09,829","9,75,73,52,163.93","11-Jun-2024"
"JIOFIN","210.00","210.25","198.65","207.61","201.34","-3.02","4,57,06,658","9,24,14,29,181.02",
"BHARTIARTL","1,579.00","1,602.75","1,572.75","1,570.20","1,599.90","1.89","57,16,220","9,07,45,56,412.20","07-Aug-2024"
"ICICIBANK","1,210.50","1,217.00","1,204.15","1,204.10","1,209.85","0.48","65,55,417","7,93,31,68,990.89","12-Aug-2024"
"ULTRACEMCO","10,319.25","10,621.80","10,283.15","10,128.45","10,319.75","1.89","6,78,039","7,03,14,74,622.09","30-Jul-2024"
"ANGELONE","2,169.00","2,199.45","1,952.25","2,169.15","2,007.85","-7.44","34,35,760","6,92,92,06,410.40","21-Jan-2025"
"BLUESTARCO","1,937.40","2,079.00","1,909.55","1,917.65","2,030.90","5.91","32,99,842","6,67,92,10,192.20","19-Jul-2024"
"DIXON","13,935.85","14,536.45","13,350.10","13,935.85","14,022.00","0.62","4,61,436","6,39,89,59,115.64","17-Sep-2024"
"HAL","3,096.00","3,204.95","3,046.05","3,088.20","3,200.00","3.62","20,40,565","6,35,58,29,428.10","18-Feb-2025"
"VOLTAS","1,347.15","1,380.00","1,322.15","1,320.10","1,367.15","3.56","45,96,614","6,22,35,85,525.30","25-Jun-2024"
"ZOMATO","222.05","225.58","215.25","222.10","223.20","0.50","2,80,88,710","6,18,62,57,490.40",
